节点名称,产业链,层级,A_进口依存度(0-4),B_技术成熟度反向(0-4),C_断供风险(0-4),D_突破难度(0-4),总分(0-16),卡脖子等级,等级说明,判断依据
通信设备,半导体,3级/下游,1,0,0,0,1,C级,低风险,华为中兴在5G设备全球领先
半导体芯片经销,半导体,3级/下游,1,0,0,0,1,C级,低风险,贸易节点，无技术壁垒
LED应用产品,半导体,3级/下游,0,0,0,0,0,D级,中国优势,中国LED应用产品全球最强
太阳能应用产品,半导体,3级/下游,0,0,0,0,0,D级,中国优势,中国光伏组件全球份额超80%
LED应用产品安装劳务,半导体,3级/下游,0,0,0,0,0,D级,中国优势,纯劳动服务，国内充足
太阳能系统安装劳务,半导体,3级/下游,0,0,0,0,0,D级,中国优势,纯劳动服务，国内充足
集成电路设计,半导体,3级/中游,3,3,3,3,12,A级,重度卡脖子,先进制程设计工具/IP全部受限，中低端有能力
半导体集成电路,半导体,3级/中游,3,3,3,3,12,A级,重度卡脖子,先进制程芯片无法自制，7nm以下受阻
光电子器件,半导体,3级/中游,2,2,1,2,7,B级,中度受限,部分光电器件国产化，高功率激光芯片依赖进口
半导体分立器件,半导体,3级/中游,1,1,1,1,4,C级,低风险,中低端国内有能力，高端SiC/GaN功率器件依赖进口
芯片封装测试,半导体,3级/中游,1,1,0,1,3,C级,低风险,封装测试是中国强项，封装设备仍有部分依赖
晶圆代工服务,半导体,3级/中游,4,4,4,4,16,S级,极度卡脖子,14nm以下受EUV管制，无法制造先进制程芯片
氧化扩散炉,半导体,4级/上游,2,2,1,2,7,B级,中度受限,国内北方华创有产品，高端品仍有差距
钽靶材,半导体,4级/上游,2,2,2,2,8,B级,中度受限,高纯钽靶材依赖进口，中国钽资源稀少
光刻胶配套试剂,半导体,4级/上游,3,3,2,3,11,A级,重度卡脖子,显影液/清洗液高端品几乎100%进口
键合丝,半导体,4级/上游,1,1,0,1,3,C级,低风险,中国键合丝产业相对成熟，有一定出口
IC封装测试设备,半导体,4级/上游,2,2,1,2,7,B级,中度受限,分选机/测试机高端品依赖爱德万/泰瑞达
真空镀膜设备,半导体,4级/上游,3,2,2,2,9,A级,重度卡脖子,高端PVD/CVD设备依赖AMAT/Lam，已受管制
热场,半导体,4级/上游,1,1,1,1,4,C级,低风险,碳/碳热场国产化较好，高纯石墨件有一定进口
封装基板,半导体,4级/上游,3,3,2,3,11,A级,重度卡脖子,ABF基板严重依赖日本揖斐电/味之素，已是瓶颈
硅片,半导体,4级/上游,3,3,2,3,11,A级,重度卡脖子,12寸硅片依赖日本SUMCO/信越，国产良率差
硅粉,半导体,4级/上游,0,0,0,0,0,D级,中国优势,中国多晶硅产量全球第一，无供给问题
化学机械抛光液,半导体,4级/上游,3,3,2,3,11,A级,重度卡脖子,高端CMP液依赖CMC/Entegris，已列入管制
硅棒,半导体,4级/上游,1,1,0,1,3,C级,低风险,国内隆基/中环有大规模量产
涂胶显影设备,半导体,4级/上游,4,4,3,4,15,S级,极度卡脖子,Tokyo Electron垄断，已受管制
抛光垫,半导体,4级/上游,3,3,2,3,11,A级,重度卡脖子,Dow/Cabot垄断，国产产品一致性差
石英坩埚,半导体,4级/上游,1,1,1,1,4,C级,低风险,国内有一定产能，但高端石英耗材仍进口
探针卡,半导体,4级/上游,3,3,2,3,11,A级,重度卡脖子,FormFactor等美国企业主导，高端品严重依赖
离子注入机,半导体,4级/上游,4,4,4,4,16,S级,极度卡脖子,应用材料/艾克塞利斯垄断，国内实质空白，已管制
金属硅,半导体,4级/上游,0,0,0,0,0,D级,中国优势,中国是全球最大金属硅生产国
引线框架,半导体,4级/上游,1,1,0,1,3,C级,低风险,国内长电/华天有能力，中低端完全自产
钼靶材,半导体,4级/上游,2,1,1,2,6,B级,中度受限,国内钼资源丰富，靶材加工有一定能力
光刻设备,半导体,4级/上游,4,4,4,4,16,S级,极度卡脖子,ASML垄断EUV，DUV已受出口管制，中国实质断供
半导体封装模具,半导体,4级/上游,2,2,1,2,7,B级,中度受限,中高端封装模具依赖日本TOWA等
CMP抛光设备,半导体,4级/上游,3,3,3,3,12,A级,重度卡脖子,AMAT/Ebara主导，国内华海清科有突破但份额小
多晶炉,半导体,4级/上游,1,1,0,1,3,C级,低风险,光伏多晶炉国内已很成熟
单晶炉,半导体,4级/上游,1,1,0,1,3,C级,低风险,国内晶盛机电已能量产，国产化率较高
等离子刻蚀机,半导体,4级/上游,4,3,4,3,14,S级,极度卡脖子,Lam Research主导，已全面断供先进制程，中微有突破
等离子清洗机,半导体,4级/上游,2,2,2,2,8,B级,中度受限,国内有一定产品，高端清洗设备仍依赖进口
光电元器件,半导体,4级/中游,2,2,1,2,7,B级,中度受限,高端光通信器件依赖II-VI/Coherent等
半导体分立器件芯片,半导体,4级/中游,1,1,1,1,4,C级,低风险,中国MOSFET/二极管中低端自产，高压SiC依赖进口
光电显示器件,半导体,4级/中游,1,0,0,0,1,C级,低风险,京东方/TCL全球前列，OLED面板有一定差距
物联网芯片,半导体,4级/中游,2,2,2,2,8,B级,中度受限,乐鑫/联发科等有产品，高端MCU仍依赖进口
晶体管,半导体,4级/中游,1,1,0,1,3,C级,低风险,中低端晶体管国内自产为主
数字集成电路,半导体,4级/中游,3,3,3,3,12,A级,重度卡脖子,先进制程数字IC受制裁，无法在国内制造
压力传感器,半导体,4级/中游,2,2,1,2,7,B级,中度受限,高精度压力传感器仍依赖进口
集成电路晶圆,半导体,4级/中游,4,4,4,4,16,S级,极度卡脖子,先进制程晶圆完全依赖台积电/三星，中芯受管制
图像传感器,半导体,4级/中游,3,3,2,3,11,A级,重度卡脖子,索尼/三星主导，国内韦尔/格科微高端差距大
其他半导体分立器件,半导体,4级/中游,1,1,1,1,4,C级,低风险,通用器件国产化率相对较高
光电子芯片,半导体,4级/中游,3,3,2,3,11,A级,重度卡脖子,高端激光器/探测器芯片严重依赖进口
编码器,半导体,4级/中游,2,2,2,2,8,B级,中度受限,高精度编码器依赖日本多摩川/海德汉
模拟集成电路,半导体,4级/中游,3,3,2,3,11,A级,重度卡脖子,TI/ADI主导，国内圣邦/思瑞浦追赶中，高端差距大
电流传感器,半导体,4级/中游,2,2,1,2,7,B级,中度受限,高精度电流传感器仍有进口依赖
LED组件,半导体,4级/中游,0,0,0,0,0,D级,中国优势,中国LED组件全球份额第一
MEMS麦克风,半导体,4级/中游,2,2,2,2,8,B级,中度受限,楼氏/歌尔/瑞声竞争，核心MEMS工艺部分依赖进口
单晶硅片,半导体,5级/上游,3,2,2,2,9,A级,重度卡脖子,12寸大硅片产能不足，良率低于日本SUMCO
单晶硅,半导体,5级/上游,1,0,0,0,1,C级,低风险,中国是最大单晶硅产国（隆基/中环）
集成电路分选机,半导体,5级/上游,3,3,2,3,11,A级,重度卡脖子,爱德万/泰瑞达主导，国内基本空白
多晶硅,半导体,5级/上游,0,0,0,0,0,D级,中国优势,中国多晶硅全球产量超80%
晶圆减薄机,半导体,5级/上游,3,3,2,3,11,A级,重度卡脖子,日本迪思科主导，国产产品精度差距明显
芯片键合机,半导体,5级/上游,2,2,2,2,8,B级,中度受限,国内有一定产品，高端键合机仍依赖ASM太平洋
多晶硅片,半导体,5级/上游,0,0,0,0,0,D级,中国优势,中国光伏多晶硅片全球最大供应国
LED封装产品,半导体,5级/中游,0,0,0,0,0,D级,中国优势,木林森/国星等全球前列，明显优势
智能终端应用处理器芯片,半导体,5级/中游,4,4,4,4,16,S级,极度卡脖子,苹果A/高通骁龙断供，华为麒麟因台积电停产无法生产
安全芯片,半导体,5级/中游,2,2,2,2,8,B级,中度受限,金融/SIM安全芯片国内有一定能力
信号链芯片,半导体,5级/中游,3,3,2,3,11,A级,重度卡脖子,ADI/TI在信号链占主导，国内追赶中
电源管理芯片,半导体,5级/中游,3,3,2,3,11,A级,重度卡脖子,TI主导，国内圣邦/南芯追赶，高端差距2-3年
基带芯片,半导体,5级/中游,4,4,4,4,16,S级,极度卡脖子,高通/联发科主导，华为基带因台积电停产受阻
半导体二极管,半导体,5级/中游,1,1,0,1,3,C级,低风险,中国二极管产能大，中低端完全自产
LED芯片,半导体,5级/中游,0,0,0,0,0,D级,中国优势,三安光电/华灿全球前列
晶闸管,半导体,5级/中游,1,1,0,1,3,C级,低风险,国内有成熟产业，出口为主
激光器芯片,半导体,5级/中游,3,3,2,3,11,A级,重度卡脖子,高功率激光器芯片依赖II-VI/JDSU等
LED衬底材料,半导体,5级/中游,1,1,0,1,3,C级,低风险,国内蓝宝石衬底有较强能力
电力线载波芯片,半导体,5级/中游,1,1,0,1,3,C级,低风险,国内有专业厂商，技术相对成熟
打印机耗材芯片,半导体,5级/中游,1,1,0,1,3,C级,低风险,国内有多家厂商替代
中央处理器芯片,半导体,5级/中游,4,4,4,4,16,S级,极度卡脖子,x86受Intel/AMD授权限制，ARM生态依赖境外IP
MCU芯片,半导体,5级/中游,3,3,3,3,12,A级,重度卡脖子,高端车规MCU几乎100%依赖瑞萨/英飞凌/NXP
SoC芯片,半导体,5级/中游,3,3,3,3,12,A级,重度卡脖子,高端SoC受制裁无法先进制程代工
AI芯片,半导体,5级/中游,4,4,4,4,16,S级,极度卡脖子,英伟达H100/A100断供，国内算力严重受限
场效应管,半导体,5级/中游,2,2,1,2,7,B级,中度受限,高端SiC MOSFET依赖ST/罗姆/科锐
LED支架,半导体,5级/中游,0,0,0,0,0,D级,中国优势,中国LED支架全球最大供应商
DSP芯片,半导体,5级/中游,3,3,2,3,11,A级,重度卡脖子,TI/ADI高端DSP主导，国内中低端有产品
LED外延片,半导体,5级/中游,0,0,0,0,0,D级,中国优势,三安/华灿等国产化率高
新能源汽车组件,新能源汽车,1级/上游,1,1,1,0,3,C级,低风险,分类节点，子类差异大
新能源汽车制造,新能源汽车,1级/中游,0,0,0,0,0,D级,中国优势,中国NEV产量全球第一，比亚迪竞争力强
电气设备用线缆,新能源汽车,2级/上游,1,0,0,0,1,C级,低风险,国内中天/亨通等有强产能
汽车电子电气系统,新能源汽车,2级/上游,2,2,2,1,7,B级,中度受限,核心控制器仍依赖博世/大陆
新能源汽车部件,新能源汽车,2级/上游,1,1,1,1,4,C级,低风险,国产化进展中，部分关键部件仍依赖
其他汽车零配件与设备,新能源汽车,2级/上游,1,1,1,0,3,C级,低风险,大多数零配件国内有能力
汽车底盘系统,新能源汽车,2级/上游,2,2,2,1,7,B级,中度受限,高端底盘控制系统依赖博世/大陆
汽车车身系统,新能源汽车,2级/上游,1,1,0,1,3,C级,低风险,国内有完整产业链
汽车生产设备,新能源汽车,2级/上游,2,2,2,2,8,B级,中度受限,焊接/冲压等高端设备部分依赖进口
汽车电子软件,新能源汽车,2级/上游,3,3,2,3,11,A级,重度卡脖子,车载OS/自动驾驶软件依赖美国生态
新能源汽车动力系统,新能源汽车,2级/上游,1,1,0,1,3,C级,低风险,中国三电系统全球竞争力强
汽车热管理系统,新能源汽车,2级/上游,2,2,1,2,7,B级,中度受限,高端热管理系统仍依赖博世/马勒
汽车租赁,新能源汽车,2级/下游,0,0,0,0,0,D级,中国优势,纯服务行业，无卡脖子
机动车贸易,新能源汽车,2级/下游,0,0,0,0,0,D级,中国优势,贸易节点，无技术壁垒
汽保设备,新能源汽车,2级/下游,1,1,0,0,2,C级,低风险,中高端汽保设备仍有进口
机动车辆险,新能源汽车,2级/下游,0,0,0,0,0,D级,中国优势,保险服务，无卡脖子
新能源汽车,新能源汽车,2级/中游,0,0,0,0,0,D级,中国优势,中国NEV全球最大生产国和市场
汽车制动系统,新能源汽车,3级/上游,2,2,2,2,8,B级,中度受限,博世/大陆在高端制动系统主导
铝板,新能源汽车,3级/上游,1,0,0,0,1,C级,低风险,国内南山铝业等有充足产能
汽车转向系统,新能源汽车,3级/上游,2,2,2,2,8,B级,中度受限,电动转向系统核心控制依赖博世/捷太格特
铜,新能源汽车,3级/上游,1,1,0,0,2,C级,低风险,国内铜资源丰富，精炼铜产量全球第一
钢板材,新能源汽车,3级/上游,0,0,0,0,0,D级,中国优势,中国钢铁产能全球一半，无供给问题
汽车电子产品,新能源汽车,3级/上游,2,2,2,2,8,B级,中度受限,高端车规芯片/传感器大量依赖进口
紧固件,新能源汽车,3级/上游,1,1,0,0,2,C级,低风险,国内紧固件产业成熟
汽车灯具,新能源汽车,3级/上游,1,1,0,0,2,C级,低风险,国内汽车灯具有较强产业基础
轮胎,新能源汽车,3级/上游,1,1,0,0,2,C级,低风险,国内三角/玲珑等有竞争力
汽车轴承,新能源汽车,3级/上游,2,2,2,2,8,B级,中度受限,高精度轴承依赖NSK/SKF等日欧品牌
电子控制器件,新能源汽车,3级/上游,3,3,2,3,11,A级,重度卡脖子,车规级控制芯片严重依赖NXP/瑞萨/英飞凌
电子电路板,新能源汽车,3级/上游,1,1,0,0,2,C级,低风险,国内PCB产业全球第一
汽车线束,新能源汽车,3级/上游,1,0,0,0,1,C级,低风险,国内住电/矢崎等有大规模生产
汽车模具,新能源汽车,3级/上游,1,1,0,0,2,C级,低风险,国内汽车模具产业较成熟
汽车内外饰件,新能源汽车,3级/上游,1,0,0,0,1,C级,低风险,国内供应商完整
磁性材料,新能源汽车,3级/上游,0,0,0,0,0,D级,中国优势,中国稀土永磁材料全球占优
汽车传感器,新能源汽车,3级/上游,3,3,2,3,11,A级,重度卡脖子,高端车规传感器依赖博世/大陆/英飞凌
汽车设计,新能源汽车,3级/上游,2,2,1,2,7,B级,中度受限,高端整车设计仍依赖海外设计公司
汽车化工用品,新能源汽车,3级/上游,1,1,0,0,2,C级,低风险,国内化工产业完整
钣金制品,新能源汽车,3级/上游,0,0,0,0,0,D级,中国优势,中国钣金加工产能充足
车身壳体,新能源汽车,3级/上游,0,0,0,0,0,D级,中国优势,国内完全自给
汽车起动机,新能源汽车,3级/上游,1,0,0,0,1,C级,低风险,国内有成熟产业
汽车及其零部件研发服务,新能源汽车,3级/上游,2,2,1,1,6,B级,中度受限,高端研发服务依赖博世/大陆技术体系
联轴器,新能源汽车,3级/上游,1,1,0,0,2,C级,低风险,国内联轴器产业成熟
汽车发电机,新能源汽车,3级/上游,1,0,0,0,1,C级,低风险,国内有充足生产能力
钼,新能源汽车,3级/上游,0,0,0,0,0,D级,中国优势,中国钼储量全球第一
汽车车载电源,新能源汽车,3级/上游,1,1,0,0,2,C级,低风险,国内有一定产能
变流器,新能源汽车,3级/上游,2,2,2,2,8,B级,中度受限,高端电力变流器依赖ABB/西门子
车用空调,新能源汽车,3级/上游,1,1,0,0,2,C级,低风险,国内汽车空调较成熟
锂,新能源汽车,3级/上游,2,2,1,1,6,B级,中度受限,中国锂资源依赖澳洲/南美进口矿，但提炼在国内
钴,新能源汽车,3级/上游,3,2,2,2,9,A级,重度卡脖子,80%钴资源在刚果金，高度依赖进口
汽车仪表,新能源汽车,3级/上游,2,2,1,1,6,B级,中度受限,数字仪表有国产，但高端显示模组依赖进口
汽车用非轮胎橡胶制品,新能源汽车,3级/上游,1,0,0,0,1,C级,低风险,国内产业完整
汽车传动系统,新能源汽车,3级/上游,2,2,2,2,8,B级,中度受限,高端自动变速器依赖ZF/爱信
汽车拉索,新能源汽车,3级/上游,0,0,0,0,0,D级,中国优势,国内完全自给
汽车阀,新能源汽车,3级/上游,2,1,1,1,5,B级,中度受限,高端电控阀仍依赖博世等
机械锻铸件,新能源汽车,3级/上游,0,0,0,0,0,D级,中国优势,中国锻铸件产量全球最大
新能源汽车驱动电机,新能源汽车,3级/上游,0,0,0,0,0,D级,中国优势,中国驱动电机产业全球竞争力强
汽车电机零配件,新能源汽车,3级/上游,1,1,0,0,2,C级,低风险,国内有较完整产业链
汽车管路,新能源汽车,3级/上游,0,0,0,0,0,D级,中国优势,国内完全自给
其他汽车底盘配件,新能源汽车,3级/上游,1,1,0,0,2,C级,低风险,大多数配件国内能产
汽车用电动机,新能源汽车,3级/上游,1,0,0,0,1,C级,低风险,国内电机产业成熟
汽车曲轴,新能源汽车,3级/上游,1,1,1,1,4,C级,低风险,高端曲轴精度要求高，部分依赖进口
镍,新能源汽车,3级/上游,2,1,1,1,5,B级,中度受限,中国镍资源少，依赖印尼/菲律宾进口
汽车调节器,新能源汽车,3级/上游,1,1,1,1,4,C级,低风险,有国产替代，高端品仍依赖进口
锰,新能源汽车,3级/上游,1,0,0,0,1,C级,低风险,中国锰矿储量较丰富
汽车尾板,新能源汽车,3级/上游,0,0,0,0,0,D级,中国优势,国内完全自给
电子变压器,新能源汽车,3级/上游,1,1,0,0,2,C级,低风险,国内产业较成熟
汽车行驶系统,新能源汽车,3级/上游,1,1,1,1,4,C级,低风险,部分高端系统依赖进口
IGBT功率模块,新能源汽车,3级/上游,4,4,3,3,14,S级,极度卡脖子,车规级IGBT 90%依赖英飞凌/三菱，国产化是关键攻关方向
汽车用电加热器,新能源汽车,3级/上游,1,1,0,0,2,C级,低风险,国内有完整产业
电动汽车电机控制器,新能源汽车,3级/上游,1,0,0,0,1,C级,低风险,国内汇川/禾望等有竞争力
车身附件,新能源汽车,3级/上游,0,0,0,0,0,D级,中国优势,国内完全自给
汽车安全气囊气体发生器,新能源汽车,3级/上游,2,2,2,2,8,B级,中度受限,高端气体发生器依赖奥托立夫等
汽车涂装设备,新能源汽车,3级/上游,2,2,2,2,8,B级,中度受限,高端涂装线依赖杜尔/艾森曼
燃料电池动力系统,新能源汽车,3级/上游,3,3,2,3,11,A级,重度卡脖子,氢燃料电池系统核心材料依赖进口
汽车辅助驾驶软件,新能源汽车,3级/上游,3,3,2,3,11,A级,重度卡脖子,Mobileye/英伟达算法/数据集依赖
汽车操作系统软件,新能源汽车,3级/上游,3,3,3,3,12,A级,重度卡脖子,QNX/Linux车载OS，核心生态依赖境外
汽车整流器,新能源汽车,3级/上游,1,0,0,0,1,C级,低风险,国内产业完整
汽车贸易,新能源汽车,3级/下游,0,0,0,0,0,D级,中国优势,贸易节点
机动车维修服务,新能源汽车,3级/下游,0,0,0,0,0,D级,中国优势,纯服务
汽车充电服务,新能源汽车,3级/下游,0,0,0,0,0,D级,中国优势,国内大规模布局
汽车检测,新能源汽车,3级/下游,0,0,0,0,0,D级,中国优势,纯服务
汽车美容服务,新能源汽车,3级/下游,0,0,0,0,0,D级,中国优势,纯服务
汽车物流服务,新能源汽车,3级/下游,0,0,0,0,0,D级,中国优势,纯服务
汽车金融服务,新能源汽车,3级/下游,0,0,0,0,0,D级,中国优势,金融服务
焊割设备,新能源汽车,4级/上游,1,1,0,0,2,C级,低风险,国内有竞争力品牌
车轮,新能源汽车,4级/上游,0,0,0,0,0,D级,中国优势,国内完全自给
继电器,新能源汽车,4级/上游,1,1,0,0,2,C级,低风险,国内宏发等较强
锻件,新能源汽车,4级/上游,0,0,0,0,0,D级,中国优势,中国锻件产量全球第一
传感器,新能源汽车,4级/上游,3,3,2,3,11,A级,重度卡脖子,高端车规传感器大量依赖博世/霍尼韦尔
锂离子电池,新能源汽车,4级/上游,0,0,0,0,0,D级,中国优势,宁德时代/比亚迪全球份额超60%
铸件,新能源汽车,4级/上游,0,0,0,0,0,D级,中国优势,中国铸件产量全球最大
汽车橡胶减震制品,新能源汽车,4级/上游,1,0,0,0,1,C级,低风险,国内产业成熟
激光加工设备,新能源汽车,4级/上游,2,2,2,2,8,B级,中度受限,高端激光切割设备依赖通快/IPG
汽车密封件,新能源汽车,4级/上游,1,1,0,0,2,C级,低风险,国内有一定能力
汽车内饰件,新能源汽车,4级/上游,0,0,0,0,0,D级,中国优势,国内完全自给
传动轴,新能源汽车,4级/上游,1,1,0,0,2,C级,低风险,国内产业成熟
变频器,新能源汽车,4级/上游,2,2,1,2,7,B级,中度受限,高端变频器依赖ABB/西门子/汇川
汽车悬挂系统,新能源汽车,4级/上游,2,2,2,2,8,B级,中度受限,高端自适应悬挂依赖博世/大陆
镍矿,新能源汽车,4级/上游,3,1,1,1,6,B级,中度受限,中国镍矿资源极少，严重依赖印尼/菲律宾进口
碳酸酯,新能源汽车,4级/上游,1,1,0,0,2,C级,低风险,国内电解液溶剂产业成熟
汽车空调零部件,新能源汽车,4级/上游,1,0,0,0,1,C级,低风险,国内产业成熟
变速器及其齿轮,新能源汽车,4级/上游,2,2,2,2,8,B级,中度受限,高端AT变速器依赖爱信/ZF
离合器,新能源汽车,4级/上游,1,1,0,0,2,C级,低风险,国内产业成熟
PP树脂,新能源汽车,4级/上游,1,0,0,0,1,C级,低风险,国内石化产业完整
锂电池专用生产设备,新能源汽车,4级/上游,1,0,0,0,1,C级,低风险,先导/科捷等全球竞争力强
汽车电子芯片,新能源汽车,4级/上游,4,4,4,4,16,S级,极度卡脖子,车规MCU/功率芯片>90%依赖NXP/瑞萨/英飞凌，疫情期曾大缺货
燃料电池,新能源汽车,4级/上游,3,3,2,3,11,A级,重度卡脖子,关键材料/工艺依赖丰田/松下技术体系
转向器,新能源汽车,4级/上游,2,2,2,2,8,B级,中度受限,EPS转向器高端依赖捷太格特/博世
合成橡胶,新能源汽车,4级/上游,1,0,0,0,1,C级,低风险,国内石化完整
石墨烯,新能源汽车,4级/上游,1,1,0,1,3,C级,低风险,国内在石墨烯应用有较多布局
刹车片蹄铁,新能源汽车,4级/上游,1,0,0,0,1,C级,低风险,国内产业完整
电极铝箔,新能源汽车,4级/上游,1,0,0,0,1,C级,低风险,国内万顺新材等有竞争力
轮毂轴承,新能源汽车,4级/上游,2,2,2,2,8,B级,中度受限,高精度轮毂轴承依赖SKF/NSK
车用尿素,新能源汽车,4级/上游,0,0,0,0,0,D级,中国优势,国内自给
汽车电子控制系统,新能源汽车,4级/上游,3,3,3,3,12,A级,重度卡脖子,核心ECU依赖博世/大陆/电装三强
汽车外饰件,新能源汽车,4级/上游,0,0,0,0,0,D级,中国优势,国内完全自给
汽车锁,新能源汽车,4级/上游,0,0,0,0,0,D级,中国优势,国内完全自给
轮胎模具,新能源汽车,4级/上游,1,1,0,0,2,C级,低风险,国内有较好产业
镍制品,新能源汽车,4级/上游,2,1,1,1,5,B级,中度受限,依赖进口镍矿，国内加工有能力
电池测试仪表,新能源汽车,4级/上游,2,2,1,2,7,B级,中度受限,高端电池测试设备部分依赖进口
汽车车架,新能源汽车,4级/上游,0,0,0,0,0,D级,中国优势,国内完全自给
电池管理系统,新能源汽车,4级/上游,1,0,0,0,1,C级,低风险,宁德时代/比亚迪BMS全球竞争力强
存储器芯片,新能源汽车,4级/上游,3,3,3,3,12,A级,重度卡脖子,车规DRAM/FLASH依赖三星/美光/SK海力士
车桥,新能源汽车,4级/上游,0,0,0,0,0,D级,中国优势,国内完全自给
冷却系统,新能源汽车,4级/上游,1,1,0,0,2,C级,低风险,国内有较完整产业
离合器零配件,新能源汽车,4级/上游,1,0,0,0,1,C级,低风险,国内产业成熟
汽车注塑模具,新能源汽车,4级/上游,1,1,0,0,2,C级,低风险,国内模具产业较强
其他电池材料,新能源汽车,4级/上游,2,2,1,1,6,B级,中度受限,部分添加剂/特种材料依赖进口
锂矿石,新能源汽车,4级/上游,3,1,1,1,6,B级,中度受限,中国锂矿资源有限，大量依赖澳洲/南美进口
盘式制动器,新能源汽车,4级/上游,2,2,2,2,8,B级,中度受限,高端产品依赖博世/大陆
锂离子电池材料,新能源汽车,4级/上游,1,0,0,0,1,C级,低风险,正负极/隔膜国内产业链完整
汽车方向盘,新能源汽车,4级/上游,0,0,0,0,0,D级,中国优势,国内完全自给
锰矿石及锰精矿,新能源汽车,4级/上游,1,1,0,0,2,C级,低风险,中国锰矿资源相对丰富
车载信息娱乐系统,新能源汽车,4级/上游,2,2,2,2,8,B级,中度受限,高端IVI系统依赖高通/哈曼平台
金属锂,新能源汽车,4级/上游,1,1,0,0,2,C级,低风险,国内有提炼能力
稀土永磁材料,新能源汽车,4级/上游,0,0,0,0,0,D级,中国优势,中国稀土永磁全球占优，中科三环等全球领先
汽车冲压模具,新能源汽车,4级/上游,0,0,0,0,0,D级,中国优势,国内完全自给
汽车转向节,新能源汽车,4级/上游,0,0,0,0,0,D级,中国优势,国内完全自给
全钢子午线轮胎,新能源汽车,4级/上游,0,0,0,0,0,D级,中国优势,国内产能充足
汽车设计咨询服务,新能源汽车,4级/上游,2,2,1,1,6,B级,中度受限,高端设计咨询依赖外资品牌
车载摄像头,新能源汽车,4级/上游,2,2,2,2,8,B级,中度受限,CMOS传感器依赖索尼/安森美
汽车刹车油管,新能源汽车,4级/上游,0,0,0,0,0,D级,中国优势,国内完全自给
锂盐,新能源汽车,4级/上游,1,0,0,0,1,C级,低风险,国内赣锋/天齐有竞争力
万向节,新能源汽车,4级/上游,0,0,0,0,0,D级,中国优势,国内完全自给
车载通信系统,新能源汽车,4级/上游,2,2,2,2,8,B级,中度受限,V2X/5G模组部分依赖高通芯片
电解锰,新能源汽车,4级/上游,0,0,0,0,0,D级,中国优势,中国是全球最大电解锰生产国
车载充电机,新能源汽车,4级/上游,1,0,0,0,1,C级,低风险,国内有完整产业
